node_id,idValue,idType,createDate
82,eQXBtDEZwZ,iJXPVFKynR,23-Jan-2014
83,zCCPffiqMZ,QSuxKrClJF,06-Apr-1998
84,wKUCFfefEY,yIuvdsxXes,13-Mar-2011
85,vTcyOktIJk,nxeiOugHnq,01-Jul-1993
86,WqCdduqCjc,cxetllbGIn,02-Aug-1971
87,UpwUgEhgcR,gJSuLOWTkT,18-Aug-1997
88,ZqzEHtiYwT,agJbXHCVuB,30-Oct-1999
89,txxDNYPWMg,bvZAdLWcUC,28-May-2009
90,VniRQWwQUp,fNGfdSXzRE,01-Jan-1974
91,zOXxVJGViU,kfGxOMdKSO,19-Jun-1982
92,evjerwFeFU,KtzzCKErwN,03-Jul-1979
93,WgwfyFrtxn,JHZkdlEXYl,05-Oct-1980
94,BMINuBElWn,qLKDpjgHaD,09-Jul-1971
95,PAaCiJkrpg,JKYVezryKJ,26-Jun-1980
96,tauHGtxhgx,RCUUeKdLCW,14-Apr-2000
97,jdRAJHRLxF,KNohaSwpuq,24-Mar-2009
98,dfsCkpYlLw,qFmcszTxgU,10-Apr-2011
99,jerntHurMj,TAKptbwDym,06-Sep-1975
100,DJXTJofVDR,YeAmciOFgu,29-Feb-2008
